MHandle     MName                                                         MTypeHnd    MTypeName
0x111700    scrabbletest1.lmig.com                                        0x1160089   Host_Device     
0x12f400    0190-clan-01.lmig.com                                         0x10290     Pingable        
0x104189    X3BAKDC                                                       0x1160089   Host_Device     
0x107689    0055-dist-m-sw1.lmig.com                                      0x11c0013   SwCat6xxx       
0x107489    10.21.1.142                                                   0x10290     Pingable        
0x13041b    0055-idc-rtr2                                                 0x21000c    Rtr_Cisco       
0x12f59b    0821-albany-rtr1.lmig.com                                     0x21000c    Rtr_Cisco       
0x10409b    00368300b                                                     0x3d0002    GnSNMPDev       
0x103d1b    r-cs-0121-01-r.lmig.com                                       0x3d0002    GnSNMPDev       
0x111e24    p1b5kdc.lmig.com                                              0x1160089   Host_Device     
0x1126a4    0260-4507-sw1.lmig.com                                        0x11c001c   SwCat45xx       
0x12e224    0055-ec-test-int-bigip.libertyec.com                          0x3b70005   BigIPLoadBlncr  
0x1074a4    p2e0pdc.lmig.com                                              0x10290     Pingable        
0x1108ad    0218-newyork-mpls-rtr1.lmig.com                               0x21000c    Rtr_Cisco       
0x105c2d    085a-mpls-v-rtr1                                              0x21000c    Rtr_Cisco       
0x1040ad    0096-Dover                                                    0x3d0002    GnSNMPDev       
0x10bfad    172.25.123.7                                                  0x4b60002   AirespaceSw     
0x1074ad    p4e4pdc.lmig.com                                              0x10290     Pingable        
0x1073ad    10.1.0.40                                                     0x10290     Pingable        
0x1072ad    pmc-app-085a.lmig.com                                         0x10290     Pingable        
0x12f1b6    vm-hsspwfe-t10p.lmig.com                                      0x1160089   Host_Device     
0x1073b6    10.1.0.94                                                     0x10290     Pingable        
0x1116bf    0055-4506-lab-01.lmig.com                                     0x11c001c   SwCat45xx       
0x10743f    10.11.2.1                                                     0x10290     Pingable        
0x1073bf    10.1.122.254                                                  0x10290     Pingable        
0x12fd48    0660-ontario-mpls-rtr1.lmig.com                               0x21000c    Rtr_Cisco       
0x105948    0856-SouthHills-MPLS-rtr1.lmig.com                            0x21000c    Rtr_Cisco       
0x103b48    tsoj.lmig.com                                                 0x3d0002    GnSNMPDev       
0x1116c8    s8700-a.lmig.com                                              0x10290     Pingable        
0x107448    10.11.9.3                                                     0x10290     Pingable        
0x1073c8    10.2.0.51                                                     0x10290     Pingable        
0x105151    VM-EHVOICE-T1                                                 0x1160089   Host_Device     
0x103cd1    r-cs-0119-01.lm.lmig.com                                      0x1160089   Host_Device     
0x12f7d1    0015-newyork-mpls-rtr1.lmig.com                               0x21000c    Rtr_Cisco       
0x1065d1    0936-WESTMINSTER-mpls-rtr1.lmig.com                           0x21000c    Rtr_Cisco       
0x106251    0055-saa-router                                               0x21000c    Rtr_Cisco       
0x130ad1    10.49.84.39                                                   0x3d0002    GnSNMPDev       
0x103dd1    0055-blox-int-ns1.lmig.com                                    0x3d0002    GnSNMPDev       
0x112ed1    0009-hopkinton-wae-01.lmig.com                                0x2100cb    GnCiscoDev      
0x1116d1    0055-lab-bigip1.lmig.com                                      0x10290     Pingable        
0x110951    147.179.174.228                                               0x10290     Pingable        
0x109d51    liberty-08b2e5c.lmig.com                                      0x10290     Pingable        
0x109751    test                                                          0x10290     Pingable        
0x107451    10.11.11.5                                                    0x10290     Pingable        
0x107351    10.1.129.7                                                    0x10290     Pingable        
0x105cd1    KC-INET-SBC                                                   0x10290     Pingable        
0x12e7d1    0055-Inet-Gwy-rtr2.lmig.com                                   0x2100b2    SwCiscoIOS      
0x1102da    r-cs-0832-01.lm.lmig.com                                      0x1160089   Host_Device     
0x12fc5a    0609-phoenix-mpls-rtr1.lmig.com                               0x21000c    Rtr_Cisco       
0x1116da    10.94.16.89                                                   0x10290     Pingable        
0x10745a    10.11.15.2                                                    0x10290     Pingable        
0x1072da    msp032.lmig.com                                               0x10290     Pingable        
0x10c1e3    172.31.96.232                                                 0x4b60002   AirespaceSw     
0x1116e3    liblab-76f8b6e5.mis.lmig.com                                  0x10290     Pingable        
0x107463    10.12.13.1                                                    0x10290     Pingable        
0x10b6e3    10.7.20.196                                                   0x2100b2    SwCiscoIOS      
0x12e66c    0055-finjan-mgmt-a.lmig.com                                   0x3d0002    GnSNMPDev       
0x1116ec    10.94.20.24                                                   0x10290     Pingable        
0x10746c    10.12.22.1                                                    0x10290     Pingable        
0x10416c    0585                                                          0x10290     Pingable        
0x10acf5    085a-nrstr-c1.kc.lmig.com                                     0x4cb0002   NetAppONTAPDev  
0x1116f5    10.94.20.105                                                  0x10290     Pingable        
0x107475    10.20.1.70                                                    0x10290     Pingable        
0x10ccf5    172.16.128.20                                                 0x2100b2    SwCiscoIOS      
0x1116fe    lx-corplab-01.lmig.com                                        0x1160089   Host_Device     
0x12f2fe    0190-4507-sw1.lmig.com                                        0x11c001c   SwCat45xx       
0x10affe    172.25.7.230                                                  0x22e0021   HubBaySt450     
0x103d7e    0055-blox-int-dhcp-02.lmig.com                                0x3d0002    GnSNMPDev       
0x12f3fe    0190-val-02.lmig.com                                          0x10290     Pingable        
0x10747e    10.21.1.98                                                    0x10290     Pingable        
0x12f207    vm-hsspwfe-t21p.lmig.com                                      0x1160089   Host_Device     
0x111707    10.94.20.21                                                   0x1160089   Host_Device     
0x103d07    r-cs-0141-01.lm.lmig.com                                      0x1160089   Host_Device     
0x103e07    085a-blox-int-dhcp-02.lmig.com                                0x3d0002    GnSNMPDev       
0x107487    10.21.1.134                                                   0x10290     Pingable        
0x10cd07    172.16.118.47                                                 0x2100b2    SwCiscoIOS      
0x111710    10.94.20.40                                                   0x1160089   Host_Device     
0x104090    085A-pmc-s8720-s                                              0x3d0002    GnSNMPDev       
0x107490    10.28.2.1                                                     0x10290     Pingable        
0x12de99    0055-finjan-38                                                0x1160089   Host_Device     
0x10ad19    hickory.lmig.com                                              0x1160089   Host_Device     
0x103d19    r-cs-0120-01-r.lmig.com                                       0x3d0002    GnSNMPDev       
0x12f422    s01ckdc.lmig.com                                              0x1160089   Host_Device     
0x105122    085A-sse-s8720-s                                              0x3d0002    GnSNMPDev       
0x1074a2    msp052drvio3.lmig.com                                         0x10290     Pingable        
0x1309a2    0055-Netmgnt-rtr1.lmig.com                                    0x2100b2    SwCiscoIOS      
0x12e222    ec-test1.lmig.com                                             0x2100b2    SwCiscoIOS      
0x10532b    lx-2fa-01                                                     0x1160089   Host_Device     
0x10622b    0055-Investments-2651.lmig.com                                0x21000c    Rtr_Cisco       
0x1123ab    r-cs-0080-01.lm.lmig.com                                      0x11600b8   Host_IBMDirector 
0x1074ab    p4e2pdc.lmig.com                                              0x10290     Pingable        
0x1073ab    10.1.0.30                                                     0x10290     Pingable        
0x103ab4    IBM_Director                                                  0x1160089   Host_Device     
0x12ff34    0180-willistonpm-mpls-rtr1.lmig.com                           0x21000c    Rtr_Cisco       
0x12fdb4    0837-syracuse-mpls-rtr1.lmig.com                              0x21000c    Rtr_Cisco       
0x1074b4    p3dfpdc.lmig.com                                              0x10290     Pingable        
0x1073b4    10.1.0.90                                                     0x10290     Pingable        
0x12f1bd    0055-ab-nonprod-bigip1.lmig.com                               0x3b7000e   F5BigIPDev      
0x1081bd    085a-cmv-cna1.lmig.com                                        0x3d0002    GnSNMPDev       
0x1073bd    10.1.0.150                                                    0x10290     Pingable        
0x1116bd    0055-lab-6513-rtr-01.lmig.com                                 0x2100b2    SwCiscoIOS      
0x12fec6    0905-beaverton-mpls-rtr1.lmig.com                             0x21000c    Rtr_Cisco       
0x12f0c6    0055-nat-gwy-1-g0-0                                           0x21000c    Rtr_Cisco       
0x1116c6    0055-4506-lab-03.lmig.com                                     0x11c0011   SwCat4xxx       
0x103e46    085a-blox-int-ns2.lmig.com                                    0x3d0002    GnSNMPDev       
0x107446    10.11.9.1                                                     0x10290     Pingable        
0x1073c6    10.2.0.41                                                     0x10290     Pingable        
0x105e46    016C-core-sw2.lmig.com                                        0x2100b2    SwCiscoIOS      
0x1073cf    WAN2-TokenRing.ohio-casualty.com                              0x21000c    Rtr_Cisco       
0x1116cf    s8720-virtual.lmig.com                                        0x10290     Pingable        
0x10744f    10.11.11.3                                                    0x10290     Pingable        
0x110958    DSMRDCEI60                                                    0x1160089   Host_Device     
0x110758    0582-columbia-mpls-rtr1.lmig.com                              0x21000c    Rtr_Cisco       
0x108b58    0055-MPLS-V-RTR2.lmig.com                                     0x21000c    Rtr_Cisco       
0x103ed8    085a-blox-int-ns2.lmig.com                                    0x3d0002    GnSNMPDev       
0x1116d8    lm-qa-stor-01.lmig.com                                        0x10290     Pingable        
0x107458    10.11.14.3                                                    0x10290     Pingable        
0x10afe1    r-cs-0108-01.lm.lmig.com                                      0x1160089   Host_Device     
0x103ce1    r-cs-0121-01.lm.lmig.com                                      0x1160089   Host_Device     
0x103b61    tsoc.lmig.com                                                 0x3d0002    GnSNMPDev       
0x10c1e1    172.31.96.230                                                 0x4b60002   AirespaceSw     
0x1116e1    liblab-e55d3b98.lmig.com                                      0x10290     Pingable        
0x107461    10.12.12.1                                                    0x10290     Pingable        
0x130361    x3b0kdc                                                       0x1160088   Host_systemEDGE 
0x10b6e1    10.7.20.222                                                   0x2100b2    SwCiscoIOS      
0x11096a    DSMRDCEI85                                                    0x1160089   Host_Device     
0x12fb6a    0082-billings-mpls-rtr1.lmig.com                              0x21000c    Rtr_Cisco       
0x1074ea    10.0.1.120                                                    0x11c0013   SwCat6xxx       
0x1116ea    10.94.20.5                                                    0x10290     Pingable        
0x10746a    10.12.20.1                                                    0x10290     Pingable        
0x10416a    0001                                                          0x10290     Pingable        
0x12e66a    0055-Choke-rtr1                                               0x2100b2    SwCiscoIOS      
0x10c1ea    172.31.62.9                                                   0x2100b2    SwCiscoIOS      
0x12fbf3    0533-richmond-mpls-rtr1.lmig.com                              0x21000c    Rtr_Cisco       
0x108173    0298-cna-mgmt.lmig.com                                        0x3d0002    GnSNMPDev       
0x112ef3    0622-edmond-wae-01.lmig.com                                   0x2100cb    GnCiscoDev      
0x112c73    pdc-vmlnx1-00.lmig.com                                        0x10290     Pingable        
0x1116f3    10.94.20.103                                                  0x10290     Pingable        
0x107473    10.20.1.62                                                    0x10290     Pingable        
0x10ccf3    172.16.128.16                                                 0x2100b2    SwCiscoIOS      
