MHandle     MName                                                         MTypeHnd    MTypeName
0x100026    MgmtInventory                                                 0x25e0000   MgmtInventory   
0x100029    Modeling Gateway                                              0x4040000   ModelingGatewy  
0x10002f    Multicast Manager                                             0x47d0000   MCastManager    
0x100031    Policy Manager                                                0x4ad0000   PolicyManager   
0x100032    QoS Manager                                                   0x4b30000   QosManager      
0x1309ba    0055-Netmgnt-rtr1.lmig.com_Gen Bridge App                     0x4a0000    Gen_Bridge_App  
0x130472    0055-idc-rtr1_Gen Bridge App                                  0x4a0000    Gen_Bridge_App  
0x130438    0055-idc-rtr2_Gen Bridge App                                  0x4a0000    Gen_Bridge_App  
0x1300e6    0190-eagan-mpls-rtr1_Gen Bridge App                           0x4a0000    Gen_Bridge_App  
0x12ffb6    0807-poughkeepsie-mpls-rtr1.lmig.com_Gen Bridge App           0x4a0000    Gen_Bridge_App  
0x12ff84    0131-dover-mpls-rtr1.lmig.com_Gen Bridge App                  0x4a0000    Gen_Bridge_App  
0x12ff52    0180-willistonpm-mpls-rtr1.lmig.com_Gen Bridge App            0x4a0000    Gen_Bridge_App  
0x12ff1b    0442-stlouis-mpls-rtr1.lmig.com_Gen Bridge App                0x4a0000    Gen_Bridge_App  
0x12fee4    0905-beaverton-mpls-rtr1.lmig.com_Gen Bridge App              0x4a0000    Gen_Bridge_App  
0x12feb1    0843-florence-mpls-rtr1.lmig.com_Gen Bridge App               0x4a0000    Gen_Bridge_App  
0x12fe0e    0837-syracuse-mpls-rtr1.lmig.com_Gen Bridge App               0x4a0000    Gen_Bridge_App  
0x12fdd2    0692-honolulu-mpls-rtr1.lmig.com_Gen Bridge App               0x4a0000    Gen_Bridge_App  
0x12fd9e    0667-saltlakecity-mpls-rtr1.lmig.com_Gen Bridge App           0x4a0000    Gen_Bridge_App  
0x12fd67    0660-ontario-mpls-rtr1.lmig.com_Gen Bridge App                0x4a0000    Gen_Bridge_App  
0x12fd34    0629-orem-mpls-rtr1.lmig.com_Gen Bridge App                   0x4a0000    Gen_Bridge_App  
0x12fd02    0618-newhall-mpls-rtr1.lmig.com_Gen Bridge App                0x4a0000    Gen_Bridge_App  
0x12fccf    0617-lasvegas-mpls-rtr1.lmig.com_Gen Bridge App               0x4a0000    Gen_Bridge_App  
0x12fc8e    0609-phoenix-mpls-rtr1.lmig.com_Gen Bridge App                0x4a0000    Gen_Bridge_App  
0x12fc53    0602-orange-mpls-rtr1.lmig.com_Gen Bridge App                 0x4a0000    Gen_Bridge_App  
0x12fc1f    0533-richmond-mpls-rtr1.lmig.com_Gen Bridge App               0x4a0000    Gen_Bridge_App  
0x12fbec    0087-missoula-mpls-rtr1.lmig.com_Gen Bridge App               0x4a0000    Gen_Bridge_App  
0x12fbba    0093-coeurdalene-mpls-rtr1.lmig.com_Gen Bridge App            0x4a0000    Gen_Bridge_App  
0x12fb88    0082-billings-mpls-rtr1.lmig.com_Gen Bridge App               0x4a0000    Gen_Bridge_App  
0x12fb56    0075-memphis-mpls-rtr1.lmig.com_Gen Bridge App                0x4a0000    Gen_Bridge_App  
0x12fb24    0069-medford-mpls-rtr1.lmig.com_Gen Bridge App                0x4a0000    Gen_Bridge_App  
0x12faf2    0068-eugene-mpls-rtr1.lmig.com_Gen Bridge App                 0x4a0000    Gen_Bridge_App  
0x12fa55    0065-boise-mpls-rtr1.lmig.com_Gen Bridge App                  0x4a0000    Gen_Bridge_App  
0x12f9b8    0023-seattle-mpls-rtr1-lo10.lmig.com_Gen Bridge App           0x4a0000    Gen_Bridge_App  
0x12f98c    066c-grandrapids-mpls-rtr1.lmig.com_Gen Bridge App            0x4a0000    Gen_Bridge_App  
0x12f8e5    0022-dallas-mpls-rtr1-lo10.lmig.com_Gen Bridge App            0x4a0000    Gen_Bridge_App  
0x12f827    0017-ownigsmills-mpls-rtr1-lo10.lmig.com_Gen Bridge App       0x4a0000    Gen_Bridge_App  
0x12f7ef    0015-newyork-mpls-rtr1.lmig.com_Gen Bridge App                0x4a0000    Gen_Bridge_App  
0x12f7bd    0014-cincinnati-mpls-rtr1.lmig.com_Gen Bridge App             0x4a0000    Gen_Bridge_App  
0x12f78b    0013-troy-mpls-rtr1.lmig.com_Gen Bridge App                   0x4a0000    Gen_Bridge_App  
0x12f759    0012-needham-mpls-rtr1.lmig.com_Gen Bridge App                0x4a0000    Gen_Bridge_App  
0x12f722    0011-plymouthmeeting-mpls-rtr1.lmig.com_Gen Bridge App        0x4a0000    Gen_Bridge_App  
0x12f6f0    019d-oklahomacity-mpls-rtr1-lo10.lmig.com_Gen Bridge App      0x4a0000    Gen_Bridge_App  
0x12f6bd    0132-londonderry-mpls-rtr1.lmig.com_Gen Bridge App            0x4a0000    Gen_Bridge_App  
0x12f68b    0227-oswego-mpls-rtr1.lmig.com_Gen Bridge App                 0x4a0000    Gen_Bridge_App  
0x12f659    0265-portjefferson-mpls-rtr1.lmig.com_Gen Bridge App          0x4a0000    Gen_Bridge_App  
0x12f627    0925-southmiami-mpls-rtr1.lmig.com_Gen Bridge App             0x4a0000    Gen_Bridge_App  
0x12f5f5    0139-kennebunk-mpls-rtr1.lmig.com_Gen Bridge App              0x4a0000    Gen_Bridge_App  
0x12f5b9    0821-albany-rtr1.lmig.com_Gen Bridge App                      0x4a0000    Gen_Bridge_App  
0x12f51a    0246-plainfield-mpls-rtr1.lmig.com_Gen Bridge App             0x4a0000    Gen_Bridge_App  
0x12f317    0190-4507-sw1.lmig.com_Gen Bridge App                         0x4a0000    Gen_Bridge_App  
0x12f10c    0055-nat-gwy-2-g0-0.lmig.com_Gen Bridge App                   0x4a0000    Gen_Bridge_App  
0x12f0e2    0055-nat-gwy-1-g0-0_Gen Bridge App                            0x4a0000    Gen_Bridge_App  
0x12eab4    0055-EC-Gwy-02.lmig.com_Gen Bridge App                        0x4a0000    Gen_Bridge_App  
0x12ea84    0055-VPN-Choke-A.lmig.com_Gen Bridge App                      0x4a0000    Gen_Bridge_App  
0x12ea54    0055-VPN-Choke-B_Gen Bridge App                               0x4a0000    Gen_Bridge_App  
